Indoor Temperature (°C),Outdoor Temperature (°C),Desired Temperature (°C)
22,27,20
35,45,21
30,34,20
26,42,21
23,32,21
36,35,19
22,45,21
34,19,16
38,48,21
26,48,21
26,42,21
36,18,16
19,35,21
23,33,21
18,54,21
37,54,21
36,24,17
17,23,20
27,31,20
21,39,21
17,48,21
36,27,17
16,53,21
27,55,21
37,51,21
27,20,18
32,40,21
25,34,21
31,46,21
30,18,17
30,20,17
34,31,18
27,28,19
38,47,21
35,38,20
18,33,21
20,26,20
34,19,16
22,43,21
36,20,16
24,32,21
22,29,20
33,36,20
19,31,21
29,32,20
33,40,20
24,28,20
36,20,16
17,18,19
35,21,16
30,38,21
22,42,21
27,37,21
23,27,20
30,35,20
18,50,21
29,52,21
32,42,21
19,20,19
33,30,18
23,52,21
19,42,21
17,35,21
21,47,21
37,47,21
25,41,21
19,43,21
37,18,16
33,50,21
27,25,19
17,29,21
25,25,19
19,28,21
29,31,19
31,35,20
30,18,17
23,38,21
29,27,19
38,54,21
23,46,21
36,41,20
31,53,21
28,35,20
33,32,19
30,49,21
36,55,21
28,37,21
24,51,21
30,26,18
28,51,21
16,52,21
22,44,21
24,35,21
16,38,21
27,35,21
23,44,21
26,48,21
34,45,21
32,50,21
23,32,21
18,53,21
18,36,21
16,52,21
20,49,21
25,29,20
22,46,21
24,51,21
22,33,21
24,39,21
23,25,19
27,29,19
17,51,21
16,33,21
31,26,18
38,44,20
38,52,21
20,28,21
18,36,21
27,48,21
23,32,21
37,44,20
18,50,21
16,24,21
18,40,21
20,53,21
30,39,21
29,18,17
18,44,21
16,28,21
20,29,21
38,38,19
29,25,18
22,30,21
24,54,21
30,50,21
30,19,17
25,26,19
28,30,19
34,43,21
22,26,20
32,32,19
35,24,17
19,54,21
20,26,20
38,31,18
22,47,21
28,37,21
30,40,21
26,32,20
19,48,21
28,21,18
22,42,21
34,36,19
37,54,21
17,51,21
25,18,18
28,48,21
36,52,21
21,44,21
27,38,21
27,25,19
35,35,19
26,40,21
38,53,21
22,46,21
16,33,21
16,27,21
35,34,19
28,39,21
24,19,18
18,47,21
22,36,21
21,27,20
23,37,21
24,41,21
20,23,20
16,35,21
34,33,19
25,33,21
27,32,20
30,23,18
37,50,21
24,30,20
35,21,16
32,49,21
32,46,21
35,24,17
27,50,21
22,22,19
17,21,20
18,24,20
32,33,19
20,54,21
32,28,18
32,22,17
32,46,21
17,42,21
17,20,20
37,49,21
38,47,21
20,37,21
16,47,21
16,20,20
34,32,19
17,31,21
36,27,17
27,34,20
21,32,21
38,46,21
19,51,21
38,52,21
26,26,19
32,34,19
21,19,19
20,43,21
35,55,21
17,45,21
21,47,21
37,26,17
26,45,21
31,33,19
31,41,21
16,39,21
24,37,21
21,31,21
31,49,21
18,27,21
35,19,16
19,24,20
34,18,16
18,54,21
34,32,19
35,28,18
22,37,21
35,50,21
24,55,21
16,37,21
23,27,20
22,49,21
33,53,21
23,29,20
16,42,21
26,26,19
33,34,19
38,31,18
25,41,21
18,20,19
22,33,21
31,35,20
31,31,19
35,27,17
32,27,18
17,23,20
16,20,20
31,39,21
27,19,17
20,29,21
20,18,19
38,54,21
24,30,20
24,49,21
18,42,21
34,55,21
31,22,17
31,54,21
18,35,21
35,27,17
37,36,19
16,51,21
35,47,21
26,49,21
32,28,18
23,39,21
19,47,21
21,18,18
23,23,19
35,31,18
18,20,19
31,32,19
18,48,21
33,36,20
29,39,21
33,24,17
17,44,21
37,52,21
18,22,20
31,52,21
24,53,21
19,54,21
16,40,21
19,53,21
16,21,20
29,19,17
36,54,21
31,52,21
35,21,16
23,21,19
22,23,19
18,34,21
32,21,17
16,39,21
31,38,20
27,29,19
34,24,17
37,45,21
38,30,17
37,50,21
29,30,19
21,21,19
21,42,21
28,37,21
34,55,21
37,52,21
23,26,20
17,47,21
36,40,20
16,28,21
30,32,19
16,39,21
20,34,21
31,29,19
34,52,21
19,51,21
18,18,19
32,49,21
32,21,17
27,41,21
29,24,18
36,29,18
21,39,21
18,52,21
24,38,21
20,46,21
32,34,19
29,45,21
36,34,19
18,21,20
16,23,20
35,32,18
36,41,20
38,25,16
16,44,21
18,48,21
33,26,18
25,35,21
37,19,16
18,39,21
23,37,21
29,21,17
33,55,21
30,30,19
37,37,19
38,23,16
17,32,21
25,25,19
17,47,21
32,53,21
23,53,21
16,20,20
24,44,21
26,47,21
37,46,21
31,33,19
22,55,21
25,37,21
38,33,18
18,38,21
33,35,19
28,48,21
22,19,18
19,41,21
28,23,18
35,34,19
16,43,21
23,54,21
29,19,17
31,43,21
29,54,21
27,18,17
34,19,16
38,50,21
30,28,19
17,47,21
17,51,21
38,44,20
37,51,21
34,24,17
37,19,16
37,47,21
32,20,17
35,19,16
25,47,21
21,54,21
30,46,21
37,52,21
26,55,21
20,39,21
16,54,21
23,35,21
36,51,21
27,55,21
27,47,21
20,19,19
22,37,21
19,33,21
21,21,19
28,30,19
35,31,18
30,26,18
18,31,21
38,28,17
23,27,20
35,47,21
31,24,18
28,23,18
33,34,19
25,30,20
34,21,16
32,43,21
34,49,21
38,20,16
20,28,21
36,37,19
38,46,21
24,19,18
27,21,18
36,49,21
16,38,21
16,34,21
30,30,19
17,49,21
37,20,16
31,48,21
23,48,21
28,18,17
36,45,21
16,40,21
31,22,17
22,18,18
20,33,21
37,28,17
38,53,21
18,54,21
27,33,20
31,29,19
34,47,21
20,21,19
37,55,21
29,25,18
20,25,20
30,38,21
32,25,18
29,46,21
35,32,18
20,31,21
27,55,21
31,27,18
31,44,21
36,44,21
22,52,21
19,53,21
16,28,21
20,30,21
38,52,21
25,38,21
37,54,21
20,29,21
19,42,21
17,45,21
35,35,19
25,27,19
34,20,16
16,22,20
20,29,21
28,31,20
19,49,21
31,50,21
31,23,17
38,47,21
17,23,20
32,48,21
35,19,16
27,43,21
33,49,21
18,22,20
16,33,21
16,29,21
34,32,19
26,38,21
20,54,21
27,38,21
18,42,21
16,34,21
16,25,21
23,47,21
25,50,21
26,19,18
27,50,21
28,45,21
27,43,21
29,18,17
17,52,21
34,37,20
33,30,18
18,48,21
38,55,21
32,40,21
23,29,20
25,23,19
17,41,21
34,51,21
24,50,21
22,24,19
19,31,21
36,53,21
33,33,19
28,40,21
26,35,21
19,46,21
36,24,17
19,21,19
25,42,21
20,50,21
24,41,21
18,40,21
32,38,20
18,38,21
31,44,21
19,34,21
33,43,21
32,36,20
22,50,21
38,24,16
20,48,21
27,32,20
32,19,16
38,19,16
28,34,20
38,51,21
18,42,21
24,28,20
32,26,18
32,24,17
35,28,18
31,21,17
37,54,21
28,43,21
34,51,21
32,33,19
19,47,21
27,33,20
24,23,19
34,50,21
27,32,20
24,37,21
22,29,20
29,41,21
35,49,21
34,50,21
30,29,19
31,32,19
36,25,17
20,21,19
18,44,21
27,54,21
35,31,18
36,32,18
19,36,21
36,31,18
38,24,16
31,23,17
22,51,21
28,41,21
36,42,20
25,42,21
22,32,21
29,20,17
20,53,21
18,19,19
38,39,19
26,45,21
26,49,21
33,42,21
30,18,17
27,40,21
24,22,19
25,52,21
27,28,19
32,32,19
21,22,19
22,55,21
29,21,17
28,27,19
23,26,20
25,50,21
24,23,19
33,44,21
17,45,21
20,51,21
20,46,21
21,49,21
34,39,20
23,32,21
31,44,21
28,27,19
16,42,21
37,28,17
35,25,17
32,38,20
22,25,20
28,54,21
19,41,21
19,40,21
21,41,21
34,30,18
27,22,18
37,32,18
22,41,21
25,28,20
34,34,19
22,25,20
18,41,21
28,55,21
28,44,21
33,24,17
35,41,20
23,44,21
24,54,21
22,20,19
16,39,21
18,55,21
28,39,21
32,46,21
16,27,21
21,34,21
36,24,17
21,52,21
27,20,18
28,30,19
28,23,18
30,34,20
36,19,16
31,55,21
37,50,21
36,40,20
26,50,21
20,42,21
19,31,21
18,52,21
34,47,21
35,26,17
33,47,21
30,24,18
24,25,19
32,24,17
29,44,21
30,42,21
16,41,21
36,45,21
37,51,21
37,27,17
18,53,21
31,32,19
38,55,21
26,20,18
27,29,19
25,50,21
31,43,21
23,23,19
21,20,19
27,44,21
36,31,18
23,28,20
19,34,21
23,33,21
33,18,16
20,23,20
24,32,21
19,50,21
37,24,16
32,25,18
24,47,21
16,24,21
36,31,18
35,20,16
28,43,21
31,51,21
28,47,21
29,47,21
18,46,21
21,54,21
33,42,21
34,21,16
20,18,19
30,25,18
17,19,19
25,34,21
33,40,20
28,38,21
20,46,21
38,22,16
16,49,21
37,38,19
16,26,21
33,24,17
30,35,20
32,32,19
26,42,21
36,33,18
37,37,19
32,54,21
28,51,21
16,22,20
17,50,21
24,18,18
18,24,20
16,21,20
36,21,16
31,30,19
38,52,21
21,35,21
32,28,18
20,30,21
20,48,21
21,23,19
18,55,21
36,28,17
38,38,19
20,43,21
36,32,18
20,41,21
25,35,21
25,25,19
34,52,21
32,45,21
36,46,21
29,19,17
24,35,21
29,18,17
16,19,20
34,31,18
28,45,21
28,38,21
19,37,21
16,51,21
32,51,21
23,21,19
17,45,21
23,18,18
22,25,20
17,33,21
37,48,21
37,24,16
18,22,20
33,19,16
27,21,18
16,27,21
37,52,21
27,18,17
20,20,19
32,43,21
31,34,20
30,25,18
38,47,21
30,25,18
20,46,21
36,35,19
29,41,21
17,26,21
26,37,21
34,30,18
22,54,21
21,36,21
17,22,20
21,53,21
33,41,21
17,51,21
33,25,17
30,21,17
34,55,21
17,25,21
35,26,17
21,48,21
16,48,21
30,24,18
38,42,20
25,30,20
34,22,17
32,35,20
20,24,20
19,55,21
25,32,20
32,50,21
25,48,21
32,26,18
35,36,19
20,23,20
17,53,21
21,49,21
36,45,21
17,55,21
28,27,19
26,52,21
26,41,21
31,51,21
26,26,19
34,44,21
30,51,21
38,32,18
38,44,20
31,44,21
26,49,21
37,44,20
31,43,21
23,34,21
19,33,21
23,52,21
19,43,21
18,55,21
18,47,21
33,54,21
34,31,18
34,35,19
36,45,21
20,33,21
33,19,16
25,37,21
37,47,21
36,26,17
21,18,18
16,44,21
20,26,20
24,37,21
27,44,21
29,52,21
17,50,21
32,30,19
29,31,19
28,18,17
24,24,19
30,50,21
37,51,21
30,45,21
26,24,19
31,41,21
32,32,19
19,41,21
16,44,21
23,20,18
32,27,18
18,29,21
35,46,21
30,25,18
30,27,18
37,34,18
29,26,18
38,32,18
29,21,17
17,38,21
28,24,18
29,25,18
34,37,20
22,24,19
18,23,20
30,26,18
38,31,18
29,53,21
26,46,21
30,20,17
28,48,21
33,41,21
21,41,21
18,53,21
34,52,21
30,42,21
38,38,19
20,32,21
25,51,21
22,26,20
32,20,17
22,27,20
37,32,18
27,33,20
32,30,19
28,18,17
35,50,21
19,25,20
25,33,21
18,52,21
24,31,20
28,44,21
33,18,16
30,47,21
19,52,21
30,27,18
37,48,21
17,29,21
30,52,21
23,51,21
23,49,21
32,29,18
27,45,21
34,36,19
25,41,21
24,37,21
20,39,21
21,28,20
35,45,21
17,37,21
28,22,18
21,24,20
20,39,21
16,54,21
36,46,21
37,29,17
36,46,21
21,53,21
21,52,21
38,39,19
31,35,20
19,39,21
26,36,21
38,51,21
24,26,19
38,27,17
18,36,21
34,55,21
23,26,20
20,45,21
19,47,21
21,42,21
17,35,21
35,43,21
26,36,21
19,44,21
30,53,21
21,21,19
37,43,20
32,20,17
21,53,21
34,24,17
17,27,21
30,21,17
26,24,19
23,39,21
34,47,21
28,39,21
27,46,21
20,28,21
21,33,21
37,23,16
19,54,21
34,30,18
35,50,21
16,25,21
35,28,18
32,50,21
27,50,21
30,44,21
16,35,21
29,49,21
21,41,21
20,39,21
26,20,18
19,20,19
28,31,20
26,49,21
18,26,21
16,33,21
21,42,21
33,22,17
25,30,20
20,48,21
38,38,19
25,26,19
27,38,21
17,26,21
28,27,19
23,29,20
17,28,21
35,37,19
16,50,21
20,24,20
24,18,18
32,31,19
24,38,21
26,25,19
30,34,20
21,32,21
38,19,16
18,30,21
32,46,21
20,45,21
27,25,19
33,52,21
29,41,21
36,24,17
26,45,21
24,39,21
17,43,21
27,34,20
18,55,21
18,23,20
16,28,21
23,55,21
37,19,16
23,49,21
26,43,21
24,48,21
20,49,21
29,52,21
18,19,19
36,20,16
20,50,21
20,24,20
34,38,20
29,42,21
19,33,21
28,40,21
25,34,21
33,50,21
23,35,21
23,40,21
22,26,20
23,20,18
29,52,21
34,41,20
21,23,19
16,36,21
38,31,18
30,20,17
16,23,20
32,34,19
16,53,21
30,39,21
38,21,16
17,27,21
29,49,21
36,21,16
23,30,20
23,36,21
34,55,21
22,43,21
34,47,21
21,48,21
21,55,21
18,29,21
22,36,21
34,40,20
23,27,20
25,32,20
35,34,19
30,30,19
30,41,21
16,33,21
35,55,21
22,47,21
19,32,21
21,21,19
16,27,21
20,49,21
38,38,19
16,46,21
19,47,21
37,24,16
17,46,21
25,27,19
20,39,21
25,34,21
16,35,21
37,22,16
21,34,21
28,51,21
30,21,17
19,25,20
28,43,21
35,42,20
30,53,21
23,28,20
20,20,19
30,45,21
19,42,21
27,39,21
28,30,19
17,21,20
34,45,21
34,36,19
19,20,19
19,44,21
26,28,19
20,23,20
35,48,21
26,46,21
25,25,19
23,28,20
21,26,20
21,48,21
23,18,18
38,24,16
30,27,18
29,26,18
26,30,20
27,44,21
28,35,20
23,33,21
33,21,17
16,47,21
30,55,21
23,37,21
